Item No,Name,kW,Poles,Inertia PN,Inertia Size,Standard Spring PN,Standard Spring,50mm Static Spring PN,50mm Spring,Qty Springs,Pump List,Pump Nett,IP-56 List,IP-56 Nett,IP-66 List,IP-66 Nett,Inertia Nett,Crossbar Nett,Standard Spring Nett,50mm Spring Nett
99801296,NBG 80-50-250/241,3,4,98327382,950 x 720 x 150,92932673,CSM-16,93176761,CWDM-37,4,4876,2438,,,,,532.03,284.76,59.52,$288.59
99801294,NBG 80-50-200/219,3,4,92513065,1100 x 800 x 150,92932673,CSM-16,93176761,CWDM-37,4,4331,2165.5,,,,,610.6,284.76,59.52,$288.59
99801283,NBG 65-40-250/245,2.2,4,92513065,1100 x 800 x 150,92932673,CSM-16,93176761,CWDM-37,4,4676,2338,,,,,610.6,284.76,59.52,$288.59
99801326,NBG 125-80-160/161,2.2,4,92513065,1100 x 800 x 150,92932673,CSM-16,93176761,CWDM-37,4,4940,2470,,,,,610.6,284.76,59.52,$288.59
99801347,NBG 125-100-160/160-140,2.2,4,98327382,950 x 720 x 150,92932673,CSM-16,93176761,CWDM-37,4,5909,2954.5,,,,,532.03,284.76,59.52,$288.59
99801330,NBG 125-80-200/179,3,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6949,3474.5,,,,,532.03,284.76,59.52,$288.59
99796409,NBG 50-32-160/177,5.5,2,98327382,950 x 720 x 150,92932673,CSM-16,93176761,CWDM-37,4,4397,2198.5,1336,668,,,532.03,284.76,59.52,$288.59
99801331,NBG 125-80-200/196,4,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6790,3395,,,,,532.03,284.76,59.52,$288.59
99801081,NBG 65-50-160/158,5.5,2,98327382,950 x 720 x 150,92932673,CSM-16,93176761,CWDM-37,4,4650,2325,494.3,247.15,5297.14,2648.57,532.03,284.76,59.52,$288.59
99801284,NBG 65-40-250/260,3,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,4981,2490.5,,,,,610.6,284.76,59.52,$288.59
99796411,NBG 50-32-200/190,5.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,4715,2357.5,,,,,532.03,284.76,59.52,$288.59
99796414,NBG 65-40-200/172,5.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5137,2568.5,,,,,532.03,284.76,59.52,$288.59
99801098,NBG 80-65-160/136,5.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,4798,2399,,,,,532.03,284.76,59.52,$288.59
99801310,NBG 100-65-200/219,4,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,4988,2494,,,,,610.6,284.76,59.52,$288.59
99801082,NBG 65-50-160/172,7.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5003,2501.5,816,408,380,190,532.03,284.76,59.52,$288.59
99801311,NBG 100-65-250/215,3,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6054,3027,,,,,532.03,284.76,59.52,$288.59
99801350,NBG 125-100-200/178,4,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6363,3181.5,,,,,532.03,284.76,59.52,$288.59
99796412,NBG 50-32-200/206,7.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5104,2552,,,,,532.03,284.76,59.52,$288.59
99796415,NBG 65-40-200/188,7.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5320,2660,,,,,532.03,284.76,59.52,$288.59
99801099,NBG 80-65-160/150,7.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5099,2549.5,800,400,,,532.03,284.76,59.52,$288.59
99801328,NBG 125-80-160/177,4,4,98327389,1200 x 800 x 200,91338016,CLM-96,93176760,CWDM-38,4,5391,2695.5,,,,,663.42,284.76,135.26,$288.61
99801312,NBG 100-65-250/232,4,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,5746,2873,654,327,,,532.03,284.76,59.52,$288.59
99801285,NBG 65-40-315/283,3,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6248,3124,,,,,532.03,284.76,59.52,$288.59
99801297,NBG 80-50-250/263,4,4,98327389,1200 x 800 x 200,91338016,CLM-96,93176760,CWDM-38,4,5214,2607,,,,,663.42,284.76,135.26,$288.61
99801116,NBG 100-80-160/143,7.5,2,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6482,3241,,,,,532.03,284.76,59.52,$288.59
99801286,NBG 65-40-315/305,4,4,98327382,950 x 720 x 150,91338157,CSM-17,93176761,CWDM-37,4,6304,3152,,,,,532.03,284.76,59.52,$288.59
99801348,NBG 125-100-160/169,3,4,98327389,1200 x 800 x 200,91338016,CLM-96,93176760,CWDM-38,4,6061,3030.5,,,,,663.42,284.76,135.26,$288.61
99801298,NBG 80-50-315/277,4,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6424,3212,,,,,610.6,284.76,59.52,$288.59
99801349,NBG 125-100-160/176,4,4,98327389,1200 x 800 x 200,91338016,CLM-96,93176760,CWDM-38,4,6270,3135,,,,,663.42,284.76,135.26,$288.61
99801332,NBG 125-80-200/214,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7329,3664.5,,,,,610.6,284.76,59.52,$288.59
99817806,NBG 125-100-200/195,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6724,3362,,,,,610.6,284.76,59.52,$288.59
99801083,NBG 65-50-160/177,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7288,3644,,,,,610.6,284.76,59.52,$288.59
99801313,NBG 100-65-250/254,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,5803,2901.5,,,380,190,610.6,284.76,59.52,$288.59
99796413,NBG 50-32-200/219,11,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6029,3014.5,,,,,610.6,284.76,59.52,$288.59
99801100,NBG 80-65-160/167,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6062,3031,445.28,222.64,1215.324,607.662,610.6,284.76,59.52,$288.59
99801336,NBG 125-80-250/225,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6825,3412.5,,,,,610.6,284.76,59.52,$288.59
99796416,NBG 65-40-200/206,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6455,3227.5,,,,,610.6,284.76,59.52,$288.59
99801351,NBG 125-100-200/211,7.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6753,3376.5,,,,,610.6,284.76,59.52,$288.59
99801085,NBG 80-50-200/181,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6442,3221,,,,,610.6,284.76,59.52,$288.59
99801287,NBG 65-40-315/334,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6579,3289.5,,,,,610.6,284.76,59.52,$288.59
99801117,NBG 100-80-160/157,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6799,3399.5,1394.44,697.22,,,610.6,284.76,59.52,$288.59
99801101,NBG 80-65-160/177,15,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6430,3215,,,1339.47,669.735,610.6,284.76,59.52,$288.59
99796417,NBG 65-40-200/219,15,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6536,3268,,,,,610.6,284.76,59.52,$288.59
99801314,NBG 100-65-250/270,7.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6249,3124.5,,,,,610.6,284.76,59.52,$288.59
99801086,NBG 80-50-200/198,15,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6957,3478.5,,,,,610.6,284.76,59.52,$288.59
99817805,NBG 125-80-250/247,7.5,#N/A,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7377,3688.5,,,,,610.6,284.76,59.52,$288.59
99801299,NBG 80-50-315/303,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6545,3272.5,,,,,610.6,284.76,59.52,$288.59
99801118,NBG 100-80-160/173,15,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7553,3776.5,,4041.55,,,610.6,284.76,59.52,$288.59
99801334,NBG 125-80-200/222,7.5,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,7948,3974,,,,,663.42,284.76,153.3,668.94
99801102,NBG 100-65-200/162,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,6894,3447,,,,,610.6,284.76,59.52,$288.59
99796418,NBG 65-40-250/211,11,2,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7151,3575.5,,,,,610.6,284.76,59.52,$288.59
99801315,NBG 100-65-315/261,5.5,4,92513065,1100 x 800 x 150,91338157,CSM-17,93176761,CWDM-37,4,7608,3804,,,,,610.6,284.76,59.52,$288.59
99801103,NBG 100-65-200/177,15,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7287,3643.5,,,,,610.6,284.76,135.26,$288.61
99801119,NBG 125-80-160/147-127,11,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7955,3977.5,,4228.7,,,610.6,284.76,135.26,$288.61
99796419,NBG 65-40-250/230,15,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7695,3847.5,788.14,394.07,,,610.6,284.76,135.26,$288.61
99801300,NBG 80-50-315/331,7.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,6761,3380.5,,,,,610.6,284.76,135.26,$288.61
99801120,NBG 125-80-160/151,15,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,8384,4192,888.24,444.12,1041.4,520.7,610.6,284.76,135.26,$288.61
99801364,NBG 150-125-200/176-154,5.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7850,3925,,,,,610.6,284.76,135.26,$288.61
99801316,NBG 100-65-315/282,7.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7961,3980.5,499.28,249.64,,,610.6,284.76,135.26,$288.61
99801089,NBG 80-50-250/205,15,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,8420,4210,,,,,610.6,284.76,135.26,$288.61
99801087,NBG 80-50-200/210,18.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7753,3876.5,1322,661,,,610.6,284.76,135.26,$288.61
