Item No,Name,Base,Rubber Mount,Qty of Mounts,Pump List,Pump Nett,IP-56 Nett,IP-66 Nett,Base Nett,Rubber Mount Nett
92899803,CR 1S-30,,,," $3,298.00 "," $1,649.00 ",,,, $11.83 
92899805,CR 1S-33,,,," $3,478.00 "," $1,739.00 ",,,, $11.83 
92899807,CR 1S-36,,,," $3,659.00 "," $1,829.50 ",,,, $11.83 
92900962,CR 1-2,,,," $1,376.00 ", $688.00 ,,,, $11.83 
92900963,CR 1-3,,,," $1,426.00 ", $713.00 ,,,, $11.83 
92900965,CR 1-4,,,," $1,476.00 ", $738.00 ,,,, $11.83 
92900969,CR 1-5,,,," $1,526.00 ", $763.00 ,,,, $11.83 
92900970,CR 1-6,,,," $1,576.00 ", $788.00 ,,,, $11.83 
92900972,CR 1-7,,,," $1,626.00 ", $813.00 ,,,, $11.83 
92900974,CR 1-8,,,," $1,701.00 ", $850.50 ,,,, $11.83 
92900977,CR 1-9,,,," $1,733.00 ", $866.50 ,,,, $11.83 
92900978,CR 1-10,,,," $1,811.00 ", $905.50 ,,,, $11.83 
92900981,CR 1-11,,,," $1,888.00 ", $944.00 ,,,, $11.83 
92900982,CR 1-12,,,," $2,060.00 "," $1,030.00 ",,,, $11.83 
92900983,CR 1-13,,,," $2,132.00 "," $1,066.00 ",,,, $11.83 
92900986,CR 1-15,,,," $2,287.00 "," $1,143.50 ",,,, $11.83 
92901032,CR 1-2,,,," $1,467.00 ", $733.50 ,,,, $11.83 
92901033,CR 1-3,,,," $1,516.00 ", $758.00 ,,,, $11.83 
92901034,CR 1-4,,,," $1,566.00 ", $783.00 ,,,, $11.83 
92901036,CR 1-5,,,," $1,616.00 ", $808.00 ,,,, $11.83 
92901037,CR 1-6,,,," $1,667.00 ", $833.50 ,,,, $11.83 
92901038,CR 1-7,,,," $1,717.00 ", $858.50 ,,,, $11.83 
92901039,CR 1-8,,,," $1,791.00 ", $895.50 ,,,, $11.83 
92901040,CR 1-9,,,," $1,824.00 ", $912.00 ,,,, $11.83 
92901041,CR 1-10,,,," $1,902.00 ", $951.00 ,,,, $11.83 
92901044,CR 1-11,,,," $1,979.00 ", $989.50 ,,,, $11.83 
92901045,CR 1-12,,,," $2,150.00 "," $1,075.00 ",,,, $11.83 
92901046,CR 1-13,,,," $2,222.00 "," $1,111.00 ",,,, $11.83 
92901047,CR 1-15,,,," $2,377.00 "," $1,188.50 ",,,, $11.83 
92901048,CR 1-25,,,," $3,535.00 "," $1,767.50 ",,,, $11.83 
92901049,CR 1-27,,,," $3,689.00 "," $1,844.50 ",,,, $11.83 
92901050,CR 1-30,,,," $3,928.00 "," $1,964.00 ",,,, $11.83 
92901051,CR 1-33,,,," $4,391.00 "," $2,195.50 ",,,, $11.83 
92901052,CR 1-36,,,," $4,630.00 "," $2,315.00 ",,,, $11.83 
92901382,CR 1-17,,,," $2,562.00 "," $1,281.00 ",,,, $11.83 
92901383,CR 1-19,,,," $2,717.00 "," $1,358.50 ",,,, $11.83 
92901384,CR 1-21,,,," $2,872.00 "," $1,436.00 ",,,, $11.83 
92901385,CR 1-23,,,," $3,034.00 "," $1,517.00 ",,,, $11.83 
92901390,CR 1-17,,,," $2,652.00 "," $1,326.00 ",,,, $11.83 
92901391,CR 1-19,,,," $2,807.00 "," $1,403.50 ",,,, $11.83 
92901392,CR 1-21,,,," $2,963.00 "," $1,481.50 ",,,, $11.83 
92901393,CR 1-23,,,," $3,124.00 "," $1,562.00 ",,,, $11.83 
92901485,CR 3-2,,,," $1,366.00 ", $683.00 ,,,, $11.83 
92901487,CR 3-3,,,," $1,438.00 ", $719.00 ,,,, $11.83 
92901488,CR 3-4,,,," $1,515.00 ", $757.50 ,,,, $11.83 
92901489,CR 3-5,,,," $1,587.00 ", $793.50 ,,,, $11.83 
92901490,CR 3-6,,,," $1,661.00 ", $830.50 ,,,, $11.83 
92901491,CR 3-7,,,," $1,738.00 ", $869.00 ,,,, $11.83 
92901492,CR 3-8,,,," $1,932.00 ", $966.00 ,,,, $11.83 
92901493,CR 3-9,,,," $2,010.00 "," $1,005.00 ",,,, $11.83 
92901494,CR 3-10,,,," $2,089.00 "," $1,044.50 ",,,, $11.83 
92901495,CR 3-11,,,," $2,335.00 "," $1,167.50 ",,,, $11.83 
92901497,CR 3-12,,,," $2,412.00 "," $1,206.00 ",,,, $11.83 
92901498,CR 3-13,,,," $2,489.00 "," $1,244.50 ",,,, $11.83 
92901499,CR 3-15,,,," $2,651.00 "," $1,325.50 ",,,, $11.83 
92901510,CR 3-17,,,," $3,090.00 "," $1,545.00 ",,,, $11.83 
92901511,CR 3-19,,,," $3,251.00 "," $1,625.50 ",,,, $11.83 
92901512,CR 3-21,,,," $3,364.00 "," $1,682.00 ",,,, $11.83 
92901513,CR 3-23,,,," $3,525.00 "," $1,762.50 ",,,, $11.83 
92901531,CR 3-2,,,," $1,456.00 ", $728.00 ,,,, $11.83 
92901532,CR 3-3,,,," $1,528.00 ", $764.00 ,,,, $11.83 
92901533,CR 3-4,,,," $1,606.00 ", $803.00 ,,,, $11.83 
92901534,CR 3-5,,,," $1,678.00 ", $839.00 ,,,, $11.83 
92901535,CR 3-6,,,," $1,752.00 ", $876.00 ,,,, $11.83 
92901536,CR 3-7,,,," $1,829.00 ", $914.50 ,,,, $11.83 
92901537,CR 3-8,,,," $2,022.00 "," $1,011.00 ",,,, $11.83 
92901538,CR 3-9,,,," $2,100.00 "," $1,050.00 ",,,, $11.83 
92901539,CR 3-10,,,," $2,179.00 "," $1,089.50 ",,,, $11.83 
92901540,CR 3-11,,,," $2,425.00 "," $1,212.50 ",,,, $11.83 
92901541,CR 3-12,,,," $2,502.00 "," $1,251.00 ",,,, $11.83 
92901542,CR 3-13,,,," $2,579.00 "," $1,289.50 ",,,, $11.83 
92901543,CR 3-15,,,," $2,741.00 "," $1,370.50 ",,,, $11.83 
92901544,CR 3-17,,,," $3,181.00 "," $1,590.50 ",,,, $11.83 
92901545,CR 3-19,,,," $3,341.00 "," $1,670.50 ",,,, $11.83 
92901546,CR 3-21,,,," $3,454.00 "," $1,727.00 ",,,, $11.83 
92901547,CR 3-23,,,," $3,615.00 "," $1,807.50 ",,,, $11.83 
92901548,CR 3-25,,,," $3,758.00 "," $1,879.00 ",,,, $11.83 
92901549,CR 3-27,,,," $3,913.00 "," $1,956.50 ",,,, $11.83 
92901550,CR 3-29,,,," $4,075.00 "," $2,037.50 ",,,, $11.83 
92902347,CR 5-2,,,," $1,550.00 ", $775.00 ,,,, $11.83 
92902349,CR 5-3,,,," $1,655.00 ", $827.50 ,,,, $11.83 
92902360,CR 5-4,,,," $1,776.00 ", $888.00 ,,,, $11.83 
92902361,CR 5-5,,,," $1,993.00 ", $996.50 ,,,, $11.83 
92902362,CR 5-6,,,," $2,187.00 "," $1,093.50 ",,,, $11.83 
92902363,CR 5-7,,,," $2,263.00 "," $1,131.50 ",,,, $11.83 
92902365,CR 5-8,,,," $2,333.00 "," $1,166.50 ",,,, $11.83 
92902366,CR 5-9,,,," $2,744.00 "," $1,372.00 ",,,, $11.83 
92902367,CR 5-10,,,," $2,820.00 "," $1,410.00 ",,,, $11.83 
92902368,CR 5-11,,,," $3,072.00 "," $1,536.00 ",,,, $11.83 
92902369,CR 5-12,,,," $3,150.00 "," $1,575.00 ",,,, $11.83 
92902370,CR 5-13,,,," $3,226.00 "," $1,613.00 ",,,, $11.83 
92902371,CR 5-14,,,," $3,308.00 "," $1,654.00 ",,,, $11.83 
92902372,CR 5-15,,,," $3,385.00 "," $1,692.50 ",,,, $11.83 
92902373,CR 5-16,,,," $3,461.00 "," $1,730.50 ",,,, $11.83 
92902391,CR 5-2,,,," $1,639.00 ", $819.50 ,,,, $11.83 
92902392,CR 5-3,,,," $1,745.00 ", $872.50 ,,,, $11.83 
92902393,CR 5-4,,,," $1,864.00 ", $932.00 ,,,, $11.83 
92902394,CR 5-5,,,," $2,082.00 "," $1,041.00 ",,,, $11.83 
92902395,CR 5-6,,,," $2,276.00 "," $1,138.00 ",,,, $11.83 
92902396,CR 5-7,,,," $2,351.00 "," $1,175.50 ",,,, $11.83 
92902397,CR 5-8,,,," $2,422.00 "," $1,211.00 ",,,, $11.83 
92902398,CR 5-9,,,," $2,833.00 "," $1,416.50 ",,,, $11.83 
92902400,CR 5-10,,,," $2,909.00 "," $1,454.50 ",,,, $11.83 
92902401,CR 5-11,,,," $3,161.00 "," $1,580.50 ",,,, $11.83 
92902402,CR 5-12,,,," $3,239.00 "," $1,619.50 ",,,, $11.83 
92902403,CR 5-13,,,," $3,315.00 "," $1,657.50 ",,,, $11.83 
92902404,CR 5-14,,,," $3,397.00 "," $1,698.50 ",,,, $11.83 
92902405,CR 5-15,,,," $3,473.00 "," $1,736.50 ",,,, $11.83 
92902406,CR 5-16,,,," $3,550.00 "," $1,775.00 ",,,, $11.83 
92959539,CR 1S-27,,,," $3,023.00 "," $1,511.50 ",,,, $11.83 
92959550,CR 10-1,,,," $2,000.00 "," $1,000.00 ",,,, $11.83 
92959551,CR 10-2,,,," $2,318.00 "," $1,159.00 ",,,, $11.83 
92959552,CR 10-3,,,," $2,831.00 "," $1,415.50 ",,,, $11.83 
92959623,CR 10-4,,,," $3,256.00 "," $1,628.00 ",,,, $11.83 
92959626,CR 10-5,,,," $3,538.00 "," $1,769.00 ",,,, $11.83 
92959628,CR 10-6,,,," $3,373.00 "," $1,686.50 ",,,, $11.83 
92959640,CR 15-1,,,," $2,959.00 "," $1,479.50 ",,,, $11.83 
92959642,CR 15-2,,,," $3,795.00 "," $1,897.50 ",,,, $11.83 
92959643,CR 20-1,,,," $2,968.00 "," $1,484.00 ",,,, $11.83 
92959645,CR 20-2,,,," $3,803.00 "," $1,901.50 ",,,, $11.83 
96121950,CR 32-1-1,,,," $3,776.00 "," $1,888.00 ",,,, $11.83 
96121951,CR 32-1,,,," $4,032.00 "," $2,016.00 ",,,, $11.83 
96121952,CR 32-2-2,,,," $4,659.00 "," $2,329.50 ",,,, $11.83 
96122009,CR 32-2,,,," $5,459.00 "," $2,729.50 ",,,, $11.83 
96122010,CR 32-3-2,,,," $6,866.00 "," $3,433.00 ",,,, $11.83 
96122011,CR 32-3,,,," $6,866.00 "," $3,433.00 ",,,, $11.83 
96122012,CR 32-4-2,,,," $8,513.00 "," $4,256.50 ",,,, $11.83 
96122013,CR 32-4,,,," $8,513.00 "," $4,256.50 ",,,, $11.83 
96122014,CR 32-5-2,,,," $10,705.00 "," $5,352.50 ",,,, $11.83 
96122015,CR 32-5,,,," $10,705.00 "," $5,352.50 ",,,, $11.83 
96122016,CR 32-6-2,,,," $11,299.00 "," $5,649.50 ",,,, $11.83 
96122017,CR 32-6,,,," $11,299.00 "," $5,649.50 ",,,, $11.83 
96122018,CR 32-7-2,,,," $13,294.00 "," $6,647.00 ",,,, $11.83 
96122019,CR 32-7,,,," $13,294.00 "," $6,647.00 ",,,, $11.83 
96122020,CR 32-8-2,,,," $13,878.00 "," $6,939.00 ",,,, $11.83 
96122021,CR 32-8,,,," $13,878.00 "," $6,939.00 ",,,, $11.83 
96122022,CR 32-9-2,,,," $15,757.00 "," $7,878.50 ",,,, $11.83 
96122023,CR 32-9,,,," $15,757.00 "," $7,878.50 ",,,, $11.83 
96122024,CR 32-10-2,,,," $16,333.00 "," $8,166.50 ",,,, $11.83 
96122025,CR 32-10,,,," $16,333.00 "," $8,166.50 ",,,, $11.83 
96122026,CR 32-11-2,,,," $18,318.00 "," $9,159.00 ",,,, $11.83 
96122027,CR 32-11,,,," $18,318.00 "," $9,159.00 ",,,, $11.83 
96122028,CR 32-12-2,,,," $18,926.00 "," $9,463.00 ",,,, $11.83 
96122029,CR 32-12,,,," $18,926.00 "," $9,463.00 ",,,, $11.83 
96122030,CR 32-13-2,,,," $21,321.00 "," $10,660.50 ",,,, $11.83 
96122031,CR 32-13,,,," $21,321.00 "," $10,660.50 ",,,, $11.83 
96122032,CR 32-14-2,,,," $21,904.00 "," $10,952.00 ",,,, $11.83 
96122033,CR 32-14,,,," $21,904.00 "," $10,952.00 ",,,, $11.83 
96122746,CR 45-1-1,,,," $4,422.00 "," $2,211.00 ",,,, $11.83 
96122797,CR 45-1,,,," $5,306.00 "," $2,653.00 ",,,, $11.83 
96122798,CR 45-2-2,,,," $6,709.00 "," $3,354.50 ",,,, $11.83 
96122799,CR 45-2,,,," $8,477.00 "," $4,238.50 ",,,, $11.83 
96122800,CR 45-3-2,,,," $10,722.00 "," $5,361.00 ",,,, $11.83 
96122801,CR 45-3,,,," $10,722.00 "," $5,361.00 ",,,, $11.83 
96122802,CR 45-4-2,,,," $13,315.00 "," $6,657.50 ",,,, $11.83 
96122803,CR 45-4,,,," $13,315.00 "," $6,657.50 ",,,, $11.83 
96122804,CR 45-5-2,,,," $15,840.00 "," $7,920.00 ",,,, $11.83 
96122805,CR 45-5,,,," $15,840.00 "," $7,920.00 ",,,, $11.83 
96122806,CR 45-6-2,,,," $17,974.00 "," $8,987.00 ",,,, $11.83 
96122807,CR 45-6,,,," $17,974.00 "," $8,987.00 ",,,, $11.83 
96122808,CR 45-7-2,,,," $19,596.00 "," $9,798.00 ",,,, $11.83 
96122809,CR 45-7,,,," $19,596.00 "," $9,798.00 ",,,, $11.83 
96122810,CR 45-8-2,,,," $20,236.00 "," $10,118.00 ",,,, $11.83 
96122811,CR 45-8,,,," $20,236.00 "," $10,118.00 ",,,, $11.83 
96122812,CR 45-9-2,,,," $20,876.00 "," $10,438.00 ",,,, $11.83 
96122813,CR 45-9,,,," $22,731.00 "," $11,365.50 ",,,, $11.83 
96122814,CR 45-10-2,,,," $23,322.00 "," $11,661.00 ",,,, $11.83 
96122815,CR 45-10,,,," $23,322.00 "," $11,661.00 ",,,, $11.83 
96122816,CR 45-11-2,,,," $30,311.00 "," $15,155.50 ",,,, $11.83 
96122817,CR 45-11,,,," $30,311.00 "," $15,155.50 ",,,, $11.83 
96122818,CR 45-12-2,,,," $31,006.00 "," $15,503.00 ",,,, $11.83 
96122819,CR 45-12,,,," $31,006.00 "," $15,503.00 ",,,, $11.83 
96122820,CR 45-13-2,,,," $31,702.00 "," $15,851.00 ",,,, $11.83 
96123526,CR 64-1-1,,,," $5,245.00 "," $2,622.50 ",,,, $11.83 
96123527,CR 64-1,,,," $6,843.00 "," $3,421.50 ",,,, $11.83 
96123528,CR 64-2-2,,,," $8,295.00 "," $4,147.50 ",,,, $11.83 
96123529,CR 64-2-1,,,," $9,649.00 "," $4,824.50 ",,,, $11.83 
